original_title,genre,duration,actors
The Shawshank Redemption,Action,2.366666667,"Tim Robbins,  Morgan Freeman"
The Godfather,Action,2.916666667,"Marlon Brando,  Al Pacino"
The Godfather: Part II,Action,3.366666667,"Al Pacino,  Robert Duvall"
The Dark Knight,Action,2.533333333,"Christian Bale,  Heath Ledger"
12 Angry Men,Action,1.6,"Martin Balsam,  John Fiedler"
Schindler's List,Action,3.25,"Liam Neeson,  Ben Kingsley"
Pulp Fiction,Action,2.566666667,"Tim Roth,  Amanda Plummer"
The Lord of the Rings: The Return of the King,Action,3.35,"Noel Appleby,  Ali Astin"
"Il buono, il brutto, il cattivo",Comedy,2.683333333,"Eli Wallach,  Clint Eastwood"
Forrest Gump,Action,2.366666667,"Tom Hanks,  Rebecca Williams"
The Lord of the Rings: The Fellowship of the Ring,Action,2.966666667,"Alan Howard,  Noel Appleby"
Fight Club,Action,2.316666667,"Edward Norton,  Brad Pitt"
Inception,Horror,2.466666667,"Leonardo DiCaprio,  Joseph Gordon-Levitt"
Dag II,Action,2.25,"Caglar Ertugrul,  Ufuk Bayraktar"
Dil Bechara,Comedy,1.683333333,"Sushant Singh Rajput,  Sanjana Sanghi"
One Flew Over the Cuckoo's Nest,Action,2.216666667,"Jack Nicholson,  Louise Fletcher"
Star Wars: Episode V - The Empire Strikes Back,Action,2.066666667,"Mark Hamill,  Harrison Ford"
Goodfellas,Action,2.433333333,"Robert De Niro,  Ray Liotta"
The Matrix,Horror,2.266666667,"Keanu Reeves,  Laurence Fishburne"
The Lord of the Rings: The Two Towers,Action,2.983333333,"Bruce Allpress,  Sean Astin"
It's a Wonderful Life,Kids,2.166666667,"James Stewart,  Donna Reed"
Shichinin no samurai,Action,3.45,"Toshirô Mifune,  Takashi Shimura"
Star Wars,Action,2.016666667,"Mark Hamill,  Harrison Ford"
The Silence of the Lambs,Horror,1.966666667,"Jodie Foster,  Lawrence A. Bonney"
Se7en,Action,2.116666667,"Morgan Freeman,  Andrew Kevin Walker"
La vita è bella,Comedy,1.933333333,"Roberto Benigni,  Nicoletta Braschi"
The Green Mile,Action,3.15,"Tom Hanks,  David Morse"
Saving Private Ryan,Action,2.816666667,"Tom Hanks,  Tom Sizemore"
Sen to Chihiro no kamikakushi,Kids,2.083333333,"Rumi Hiiragi,  Miyu Irino"
Cidade de Deus,Action,2.166666667,"Alexandre Rodrigues,  Leandro Firmino"
Interstellar,Horror,2.816666667,"Ellen Burstyn,  Matthew McConaughey"
Gisaengchung,Horror,2.2,"Kang-ho Song,  Sun-kyun Lee"
City Lights,Comedy,1.45,"Virginia Cherrill,  Florence Lee"
Modern Times,Kids,1.45,"Charles Chaplin,  Paulette Goddard"
Casablanca,Action,1.7,"Humphrey Bogart,  Ingrid Bergman"
Psycho,Horror,1.816666667,"Anthony Perkins,  Vera Miles"
C'era una volta il West,Comedy,2.75,"Claudia Cardinale,  Henry Fonda"
Back to the Future,Horror,1.933333333,"Michael J. Fox,  Christopher Lloyd"
Hotaru no haka,Action,1.483333333,"Tsutomu Tatsumi,  Ayano Shiraishi"
Nuovo Cinema Paradiso,Action,2.583333333,"Antonella Attili,  Enzo Cannavale"
Terminator 2: Judgment Day,Horror,2.283333333,"Arnold Schwarzenegger,  Linda Hamilton"
The Lion King,Action,1.466666667,"Rowan Atkinson,  Matthew Broderick"
Léon,Action,1.833333333,"Jean Reno,  Gary Oldman"
The Usual Suspects,Horror,1.766666667,"Stephen Baldwin,  Gabriel Byrne"
American History X,Action,1.983333333,"Edward Norton,  Edward Furlong"
Gladiator,Action,2.583333333,"Russell Crowe,  Joaquin Phoenix"
The Pianist,Action,2.5,"Adrien Brody,  Emilia Fox"
The Departed,Horror,2.516666667,"Leonardo DiCaprio,  Matt Damon"
The Prestige,Horror,2.166666667,"Hugh Jackman,  Christian Bale"
Intouchables,Comedy,1.866666667,"François Cluzet,  Omar Sy"
Whiplash,Action,1.766666667,"Miles Teller,  J.K. Simmons"
Joker,Horror,2.033333333,"Joaquin Phoenix,  Robert De Niro"
The Great Dictator,Comedy,2.083333333,"Charles Chaplin,  Jack Oakie"
Sunset Blvd.,Action,1.833333333,"William Holden,  Gloria Swanson"
Rear Window,Horror,1.866666667,"James Stewart,  Grace Kelly"
Paths of Glory,Action,1.466666667,"Kirk Douglas,  Ralph Meeker"
Witness for the Prosecution,Action,1.933333333,"Tyrone Power,  Marlene Dietrich"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,1.583333333,"Peter Sellers,  George C. Scott"
Alien,Horror,1.95,"Tom Skerritt,  Sigourney Weaver"
Apocalypse Now,Action,2.45,"Marlon Brando,  Martin Sheen"
The Shining,Horror,2.433333333,"Jack Nicholson,  Shelley Duvall"
Raiders of the Lost Ark,Action,1.916666667,"Harrison Ford,  Karen Allen"
Once Upon a Time in America,Action,3.816666667,"Robert De Niro,  James Woods"
Mononoke-hime,Action,2.233333333,"Billy Crudup,  Billy Bob Thornton"
Memento,Horror,1.883333333,"Guy Pearce,  Carrie-Anne Moss"
Oldeuboi,Action,2.0,"Min-sik Choi,  Ji-Tae Yoo"
Das Leben der Anderen,Horror,2.283333333,"Martina Gedeck,  Ulrich Mühe"
WALL·E,Kids,1.633333333,"Ben Burtt,  Elissa Knight"
Taare Zameen Par,Kids,2.75,"Darsheel Safary,  Aamir Khan"
3 Idiots,Comedy,2.833333333,"Aamir Khan,  Madhavan"
The Dark Knight Rises,Action,2.733333333,"Christian Bale,  Gary Oldman"
Django Unchained,Comedy,2.75,"Jamie Foxx,  Christoph Waltz"
Coco,Kids,1.75,"Anthony Gonzalez,  Gael García Bernal"
Avengers: Infinity War,Horror,2.483333333,"Robert Downey Jr.,  Chris Hemsworth"
